pair,dir,entry,exit,sl,tp,lots,result,pnl_pips,pnl_usd,equity,opened_at,closed_at,confidence,agreement
AUD/USD,-1,0.66708,0.66533,0.66832,0.66533,0.89,TP,17.5,155.66,10155.66,2025-12-12 01:00:00+00:00,2025-12-12 15:00:00+00:00,0.6559890205815245,1.0
AUD/USD,-1,0.66415,0.66257,0.6653,0.66257,0.99,TP,15.8,156.05,10311.7,2025-12-15 23:00:00+00:00,2025-12-16 01:00:00+00:00,0.7233950992030886,1.0
AUD/USD,-1,0.66204,0.6604,0.66322,0.6604,0.97,TP,16.4,158.94,10470.65,2025-12-17 11:00:00+00:00,2025-12-17 18:00:00+00:00,0.6706174035846701,1.0
AUD/USD,-1,0.66064,0.66155,0.66155,0.65946,1.34,SL,-9.1,-121.63,10349.02,2025-12-19 12:00:00+00:00,2025-12-19 14:00:00+00:00,0.6268410876419377,1.0
AUD/USD,-1,0.66873,0.66747,0.66968,0.66747,1.25,TP,12.6,156.98,10506.0,2025-12-31 12:00:00+00:00,2025-12-31 15:00:00+00:00,0.6928835218812059,1.0
AUD/USD,1,0.66759,0.66733,0.66733,0.66771,2.63,SL,-2.7,-70.36,10435.64,2026-01-01 11:00:00+00:00,2026-01-01 18:00:00+00:00,0.6210082721986808,0.6666666666666666
AUD/USD,-1,0.66783,0.66823,0.66823,0.66751,2.61,SL,-4.0,-103.55,10332.09,2026-01-02 00:00:00+00:00,2026-01-02 00:00:00+00:00,0.7662979958784546,1.0
AUD/USD,-1,0.67052,0.67143,0.67143,0.66933,1.31,SL,-9.1,-119.59,10212.5,2026-01-13 12:00:00+00:00,2026-01-13 13:00:00+00:00,0.7600834750846353,1.0
AUD/USD,-1,0.67093,0.66948,0.672,0.66948,1.08,TP,14.5,156.67,10369.17,2026-01-13 14:00:00+00:00,2026-01-13 15:00:00+00:00,0.6538837003884141,1.0
AUD/USD,-1,0.68659,0.68785,0.68785,0.68483,0.91,SL,-12.6,-114.67,10254.5,2026-01-23 13:00:00+00:00,2026-01-23 16:00:00+00:00,0.6398517107392966,1.0
AUD/USD,-1,0.7036,0.70599,0.70599,0.69996,0.45,SL,-23.9,-107.53,10146.97,2026-01-29 00:00:00+00:00,2026-01-29 03:00:00+00:00,0.6624851965653094,0.6666666666666666
AUD/USD,-1,0.70301,0.70009,0.70496,0.70009,0.56,TP,29.2,163.49,10310.46,2026-02-04 06:00:00+00:00,2026-02-04 15:00:00+00:00,0.6822281017726683,1.0
AUD/USD,-1,0.70055,0.69743,0.70262,0.69743,0.53,TP,31.2,165.44,10475.9,2026-02-05 01:00:00+00:00,2026-02-05 02:00:00+00:00,0.6483882951902764,1.0
AUD/USD,-1,0.70925,0.71098,0.71098,0.70669,0.65,SL,-17.4,-112.79,10363.11,2026-02-09 23:00:00+00:00,2026-02-11 02:00:00+00:00,0.7074426700804461,1.0
AUD/USD,-1,0.71411,0.71096,0.7162,0.71096,0.53,TP,31.5,167.07,10530.18,2026-02-12 14:00:00+00:00,2026-02-12 16:00:00+00:00,0.6346045928346951,1.0
AUD/USD,-1,0.70874,0.70694,0.71003,0.70694,0.91,TP,18.1,164.49,10694.67,2026-02-16 11:00:00+00:00,2026-02-17 00:00:00+00:00,0.762470556826439,1.0
AUD/USD,-1,0.70799,0.70652,0.70907,0.70652,1.12,TP,14.7,164.63,10859.3,2026-02-18 10:00:00+00:00,2026-02-18 13:00:00+00:00,0.7264204860715211,1.0
AUD/USD,-1,0.70579,0.707,0.707,0.70411,1.0,SL,-12.1,-120.62,10738.68,2026-02-18 14:00:00+00:00,2026-02-18 15:00:00+00:00,0.6269332336477478,1.0
